sample,group
GSM5194986,Control
GSM5194987,Control
GSM5194988,Control
GSM5194990,Control
GSM5194991,Control
GSM5194992,Control
GSM5194993,Control
GSM5194994,Control
GSM5194995,Control
GSM5194996,Control
GSM5194997,Control
GSM5194998,Control
GSM5194999,Control
GSM5195000,Control
GSM5195001,Control
GSM5195002,Control
GSM5195005,Control
GSM5195006,Control
GSM5194949,Disorder
GSM5194950,Disorder
GSM5194951,Disorder
GSM5194952,Disorder
GSM5194953,Disorder
GSM5194954,Disorder
GSM5194955,Disorder
GSM5194956,Disorder
GSM5194957,Disorder
GSM5194958,Disorder
GSM5194959,Disorder
GSM5194960,Disorder
GSM5194961,Disorder
GSM5194962,Disorder
GSM5194963,Disorder
GSM5194964,Disorder
GSM5194965,Disorder
GSM5194966,Disorder
GSM5194967,Disorder
GSM5194968,Disorder
GSM5194969,Disorder
GSM5194970,Disorder
GSM5194971,Disorder
GSM5194972,Disorder
GSM5194973,Disorder
GSM5194974,Disorder
GSM5194975,Disorder
GSM5194976,Disorder
GSM5194977,Disorder
GSM5194978,Disorder
GSM5194979,Disorder
GSM5194980,Disorder
GSM5194981,Disorder
GSM5194982,Disorder
GSM5194983,Disorder
GSM5194984,Disorder
GSM5194985,Disorder
